district,area,perch,bedrooms,bathrooms,kitchen_area_sqft,parking_spots,has_garden,has_ac,water_supply,electricity,floors,year_built,price_lkr,house_age
Polonnaruwa,Polonnaruwa Central,5,3,2,51,2,True,True,Both,Three phase,1,2016,7452919,10
Kandy,Katugastota,11,4,3,113,0,False,True,Well,Single phase,1,1986,14764993,40
Jaffna,Kokuvil,28,6,5,186,3,False,False,Well,Three phase,3,1991,28494539,35
Ampara,Ampara Central,5,1,1,35,1,True,True,Well,Single phase,1,1998,5355882,28
Mullaitivu,Mullaitivu Central,8,2,1,101,0,False,False,Pipe-borne,Single phase,2,2002,7757494,24
Hambantota,Hambantota Town,3,1,1,35,1,True,False,Both,Three phase,2,2006,4176291,20
Colombo,Nugegoda,12,5,4,148,1,True,True,Both,Single phase,1,1988,38932429,38
Gampaha,Ragama,21,7,5,250,1,True,False,Well,Three phase,2,2006,46740937,20
Gampaha,Ragama,12,6,5,92,0,True,True,Well,Three phase,1,1985,18227242,41
Badulla,Badulla Town,5,1,1,68,1,False,False,Pipe-borne,Three phase,1,2017,6156618,9
Ratnapura,Ratnapura Town,12,4,4,85,0,True,False,Well,Single phase,1,2024,12790026,2
Mullaitivu,Mullaitivu Central,14,6,5,143,2,False,False,Pipe-borne,Three phase,1,1996,13083696,30
Ratnapura,Ratnapura Town,17,7,5,220,1,False,False,Both,Single phase,3,2016,28512561,10
Gampaha,Wattala,12,3,2,148,2,False,False,Pipe-borne,Three phase,1,2002,21696642,24
Matara,Weligama,3,3,2,35,0,False,False,Well,Three phase,2,1988,4636037,38
Hambantota,Hambantota Town,18,6,5,122,3,False,False,Pipe-borne,Three phase,2,2000,17869627,26
Trincomalee,Nilaveli,6,4,4,45,0,True,True,Both,Three phase,1,2009,7503058,17
Kandy,Kandy City,4,2,2,40,3,True,True,Pipe-borne,Single phase,1,2013,8959184,13
Anuradhapura,Nuwaragam Palatha,2,2,1,35,0,False,False,Pipe-borne,Three phase,1,2019,3820782,7
Trincomalee,Uppuveli,10,2,2,167,1,False,False,Both,Single phase,2,1995,12705293,31
Gampaha,Gampaha Town,14,7,5,114,2,True,True,Both,Single phase,2,1997,28228646,29
Mullaitivu,Mullaitivu Central,18,6,5,198,3,True,True,Pipe-borne,Three phase,3,1997,19824059,29
Kandy,Kandy City,20,7,5,250,1,False,True,Both,Three phase,2,2020,54162750,6
Vavuniya,Vavuniya Central,5,1,1,49,0,False,True,Well,Three phase,2,2003,5222212,23
Vavuniya,Vavuniya Central,9,4,4,68,0,True,False,Pipe-borne,Three phase,2,2006,7889488,20
Colombo,Wellawatte,6,4,3,73,0,True,True,Pipe-borne,Three phase,2,2018,18529601,8
Batticaloa,Eravur,3,2,2,39,1,False,True,Both,Three phase,2,2012,5070758,14
Nuwara Eliya,Nuwara Eliya Central,7,4,3,72,2,True,True,Both,Three phase,2,2009,20726324,17
Kegalle,Kegalle Central,15,6,5,131,2,True,False,Well,Single phase,1,2020,14750535,6
Colombo,Borella,13,4,3,157,1,False,False,Pipe-borne,Single phase,2,1995,38194982,31
Mullaitivu,Mullaitivu Central,4,2,2,72,1,True,True,Pipe-borne,Three phase,1,1986,3939068,40
Matara,Weligama,3,3,2,44,1,False,False,Well,Single phase,1,1993,4573964,33
Matara,Weligama,13,4,4,109,3,True,False,Both,Three phase,1,2025,16206965,1
Kurunegala,Melsiripura,27,7,5,250,3,True,True,Well,Three phase,3,1990,31889939,36
Batticaloa,Batticaloa Town,15,6,5,156,2,True,True,Both,Three phase,2,2004,23175062,22
Anuradhapura,Madawachchiya,13,7,5,140,3,True,True,Pipe-borne,Three phase,1,2002,19200115,24
Ratnapura,Kuruwita,5,1,1,35,1,True,False,Well,Three phase,1,1998,4255348,28
Ampara,Ampara Central,12,3,3,107,1,True,True,Well,Three phase,1,1998,10214783,28
Hambantota,Tangalle,13,6,5,122,1,False,True,Both,Single phase,1,1996,14241930,30
Matale,Matale Central,23,6,5,157,3,True,False,Well,Single phase,1,1989,21234026,37
Mullaitivu,Mullaitivu Central,28,4,3,250,2,True,True,Pipe-borne,Three phase,3,1992,21437675,34
Galle,Unawatuna,33,7,5,250,2,False,False,Both,Single phase,3,2024,54727450,2
Vavuniya,Vavuniya Central,11,5,4,112,1,False,False,Pipe-borne,Three phase,2,1997,9971425,29
Mullaitivu,Mullaitivu Central,13,6,5,142,2,False,True,Pipe-borne,Three phase,1,1991,11380190,35
Colombo,Bambalapitiya,2,1,1,35,0,True,True,Both,Three phase,1,1998,8617400,28
Nuwara Eliya,Nuwara Eliya Central,7,2,1,65,0,False,True,Both,Single phase,1,1999,13941571,27
Puttalam,Puttalam Central,19,6,5,153,3,True,False,Pipe-borne,Single phase,1,2003,16678142,23
Nuwara Eliya,Nuwara Eliya Central,4,2,1,65,1,True,True,Pipe-borne,Single phase,1,1995,9937307,31
Kilinochchi,Kilinochchi Central,14,5,5,144,1,False,True,Pipe-borne,Three phase,1,1997,13465608,29
Hambantota,Hambantota Town,13,4,4,200,1,True,False,Both,Single phase,2,2008,16032195,18
Matara,Matara Town,12,7,5,127,1,True,True,Both,Single phase,1,1999,15335049,27
Matara,Weligama,17,7,5,145,1,False,True,Both,Single phase,1,2008,19809489,18
Matale,Matale Central,28,5,4,187,2,False,True,Both,Single phase,2,2005,29069378,21
Monaragala,Monaragala Central,16,5,5,139,1,False,True,Well,Single phase,1,1989,16152548,37
Jaffna,Nallur,2,4,3,35,2,True,True,Pipe-borne,Three phase,2,1989,6000083,37
Monaragala,Monaragala Central,3,3,3,35,1,True,True,Both,Single phase,1,2007,2787987,19
Monaragala,Monaragala Central,14,7,5,172,3,True,False,Both,Single phase,3,2022,19925425,4
Gampaha,Ragama,15,6,5,166,1,False,False,Both,Three phase,2,2009,28232403,17
Trincomalee,China Bay,2,2,2,35,0,True,False,Pipe-borne,Three phase,2,1999,3497885,27
Mullaitivu,Mullaitivu Central,14,3,2,164,1,False,False,Pipe-borne,Single phase,1,2003,11886033,23
Nuwara Eliya,Nuwara Eliya Central,6,3,2,79,0,True,False,Both,Three phase,2,1991,10127044,35
Mullaitivu,Mullaitivu Central,10,2,2,119,0,True,False,Well,Single phase,1,2019,8948886,7
Batticaloa,Kallady,17,6,5,110,1,False,True,Both,Three phase,1,2023,17175011,3
Colombo,Rajagiriya,20,5,5,195,1,True,True,Well,Three phase,2,2018,72207437,8
Mannar,Mannar Central,6,4,4,79,1,False,False,Both,Three phase,1,2013,8156350,13
Colombo,Narahenpita,5,1,1,39,1,False,True,Well,Single phase,1,1985,11189220,41
Mullaitivu,Mullaitivu Central,15,6,5,142,3,True,False,Well,Three phase,1,2016,13730466,10
Monaragala,Monaragala Central,4,1,1,57,0,True,True,Well,Single phase,1,2025,4679201,1
Matara,Nupe,19,7,5,250,2,True,False,Pipe-borne,Three phase,2,1993,28395230,33
Kurunegala,Pannala,3,2,1,35,1,False,False,Both,Three phase,2,1996,3803657,30
Monaragala,Monaragala Central,28,7,5,231,3,True,True,Pipe-borne,Single phase,2,1999,29102928,27
Ratnapura,Ratnapura Town,9,5,5,93,0,True,True,Both,Single phase,2,2009,10838488,17
Galle,Unawatuna,9,3,3,60,1,False,True,Both,Three phase,1,2025,15059946,1
Galle,Karapitiya,10,5,5,134,1,True,True,Well,Three phase,2,1988,20220976,38
Monaragala,Monaragala Central,26,4,4,207,2,False,True,Well,Three phase,2,2000,23341835,26
Matale,Matale Central,5,2,1,57,0,False,False,Well,Three phase,1,2022,6071903,4
Ampara,Ampara Central,13,4,3,102,3,True,False,Well,Three phase,2,2004,11076447,22
Kandy,Peradeniya,7,5,4,88,0,True,True,Well,Single phase,1,1990,11605766,36
Matale,Matale Central,8,4,3,73,0,True,False,Well,Single phase,1,2019,10183424,7
Kegalle,Kegalle Central,14,6,5,184,1,True,True,Both,Single phase,2,2012,20264481,14
Vavuniya,Vavuniya Central,2,1,1,35,1,True,True,Pipe-borne,Three phase,1,2011,4189741,15
Puttalam,Puttalam Central,14,5,4,160,2,False,True,Both,Single phase,1,2008,16886070,18
Polonnaruwa,Polonnaruwa Central,28,6,5,250,1,True,False,Well,Single phase,2,2001,22995994,25
Nuwara Eliya,Nuwara Eliya Central,21,5,4,250,2,True,False,Pipe-borne,Three phase,3,2022,59454696,4
Anuradhapura,Nuwaragam Palatha,4,3,2,35,3,True,False,Well,Three phase,1,2010,5203154,16
Jaffna,Jaffna Town,5,3,2,42,0,True,True,Well,Three phase,1,1995,7441345,31
Puttalam,Puttalam Central,5,3,2,75,1,False,False,Both,Single phase,1,1991,7106870,35
Matale,Matale Central,11,6,5,86,3,False,True,Well,Single phase,1,1985,15105766,41
Jaffna,Chunnakam,25,6,5,180,2,False,False,Pipe-borne,Three phase,2,1989,25853464,37
Vavuniya,Vavuniya Central,8,3,2,78,2,True,True,Pipe-borne,Three phase,1,2010,7857392,16
Anuradhapura,New Town,4,3,3,55,1,False,False,Both,Three phase,2,2004,3412923,22
Hambantota,Hambantota Town,14,5,5,105,1,True,False,Both,Single phase,2,1998,11733385,28
Hambantota,Ambalantota,16,4,3,129,1,True,False,Well,Three phase,1,2004,15132719,22
Polonnaruwa,Polonnaruwa Central,5,3,3,83,1,False,False,Well,Three phase,2,2003,5820124,23
Ampara,Ampara Central,32,4,3,250,1,False,True,Pipe-borne,Three phase,3,1988,36138132,38
Badulla,Badulla Town,14,7,5,149,2,True,True,Pipe-borne,Three phase,2,2017,19409828,9
Ampara,Ampara Central,3,2,1,35,2,True,True,Pipe-borne,Single phase,1,1996,4723566,30
Kalutara,Wadduwa,10,4,3,112,0,True,True,Well,Three phase,1,1992,14884350,34
Colombo,Narahenpita,2,1,1,73,2,False,False,Well,Single phase,1,2017,9734191,9
Mannar,Mannar Central,14,7,5,137,1,True,False,Well,Single phase,1,2025,14089763,1
Kurunegala,Melsiripura,9,3,2,94,1,False,True,Pipe-borne,Three phase,2,2010,12682940,16
Colombo,Mount Lavinia,11,4,3,71,0,True,False,Pipe-borne,Single phase,1,2017,28722717,9
Mullaitivu,Mullaitivu Central,6,4,4,80,0,True,True,Well,Three phase,2,1987,6607382,39
Polonnaruwa,Polonnaruwa Central,3,2,1,76,0,True,False,Both,Three phase,1,2015,3639217,11
Monaragala,Monaragala Central,8,2,1,73,1,True,False,Pipe-borne,Three phase,2,1999,5733047,27
Batticaloa,Batticaloa Town,8,3,2,90,0,False,False,Well,Single phase,1,2003,8560224,23
Hambantota,Tangalle,2,3,2,50,0,True,False,Both,Three phase,1,1985,3211142,41
Jaffna,Chunnakam,10,4,3,78,0,True,True,Both,Three phase,1,2014,15444721,12
Batticaloa,Batticaloa Town,2,1,1,35,1,True,False,Pipe-borne,Three phase,1,2006,3289925,20
Kilinochchi,Kilinochchi Central,30,7,5,250,1,True,True,Well,Three phase,3,2005,30832574,21
Kegalle,Kegalle Central,19,4,3,176,3,False,True,Both,Three phase,2,2005,28258198,21
Vavuniya,Vavuniya Central,14,6,5,146,1,False,False,Both,Single phase,2,1989,12682869,37
Gampaha,Ja-Ela,9,2,1,91,0,True,False,Both,Three phase,1,1999,19128573,27
Batticaloa,Kallady,24,5,4,250,2,False,True,Pipe-borne,Single phase,2,2001,27731721,25
Matale,Matale Central,5,1,1,80,2,False,False,Well,Single phase,1,2005,7673668,21
Hambantota,Tangalle,4,1,1,70,0,True,False,Pipe-borne,Single phase,1,2009,4527902,17
Badulla,Hali Ela,14,6,5,125,1,False,True,Pipe-borne,Three phase,1,1995,11427728,31
Gampaha,Kadawatha,2,2,1,35,0,True,True,Both,Three phase,1,2018,6091961,8
Ratnapura,Ratnapura Town,8,4,3,90,2,False,True,Well,Single phase,2,2001,10991340,25
Nuwara Eliya,Nuwara Eliya Central,23,6,5,219,1,True,True,Well,Three phase,2,1988,55605121,38
Jaffna,Chunnakam,9,2,1,92,0,False,True,Well,Single phase,1,1992,12103011,34
Mullaitivu,Mullaitivu Central,4,3,2,35,2,False,True,Well,Three phase,2,1996,3888618,30
Badulla,Badulla Town,10,3,3,110,1,True,True,Both,Single phase,2,1988,12473117,38
Batticaloa,Batticaloa Town,11,4,3,102,0,True,True,Pipe-borne,Single phase,2,1998,10857382,28
Jaffna,Kokuvil,7,3,2,98,2,False,True,Pipe-borne,Three phase,1,1993,11852343,33
Mullaitivu,Mullaitivu Central,4,3,2,50,0,True,True,Pipe-borne,Single phase,1,1994,3144294,32
Ampara,Ampara Central,3,3,3,35,1,False,False,Both,Three phase,2,2010,4163462,16
Jaffna,Chunnakam,16,7,5,116,1,True,True,Both,Three phase,2,2017,20846266,9
Colombo,Borella,19,7,5,208,3,True,True,Both,Three phase,3,1988,66861963,38
Kegalle,Kegalle Central,11,5,4,130,0,True,False,Pipe-borne,Single phase,2,1995,11337468,31
Galle,Karapitiya,3,1,1,41,0,False,True,Both,Single phase,2,2015,5959755,11
Kandy,Peradeniya,15,6,5,194,1,True,True,Pipe-borne,Single phase,2,1995,33153221,31
Mannar,Mannar Central,20,5,5,250,2,True,False,Pipe-borne,Three phase,2,1987,21789279,39
Mullaitivu,Mullaitivu Central,13,5,5,80,1,False,True,Both,Three phase,2,2002,9386220,24
Trincomalee,Nilaveli,13,5,4,117,2,True,False,Pipe-borne,Three phase,2,2006,17824818,20
Ratnapura,Kuruwita,14,6,5,178,2,True,False,Pipe-borne,Single phase,2,1997,20714673,29
Kegalle,Kegalle Central,9,4,3,101,0,False,False,Both,Three phase,1,2013,9897814,13
Mannar,Mannar Central,3,3,3,35,0,True,True,Well,Three phase,2,2018,3234377,8
Kandy,Gatambe,29,5,4,250,1,False,False,Both,Three phase,2,1989,50510702,37
Vavuniya,Vavuniya Central,7,1,1,68,0,True,True,Well,Three phase,2,1999,6274194,27
Anuradhapura,Madawachchiya,5,3,2,47,1,False,True,Both,Single phase,1,1990,6828687,36
Kalutara,Beruwala,5,1,1,46,2,True,True,Pipe-borne,Three phase,1,2009,6006857,17
Matale,Matale Central,7,2,1,61,0,True,False,Pipe-borne,Three phase,1,1994,6822385,32
Kandy,Katugastota,2,2,1,38,0,False,False,Well,Three phase,1,2009,6029361,17
Mannar,Mannar Central,3,2,1,35,0,True,True,Both,Single phase,1,1990,3996394,36
Polonnaruwa,Polonnaruwa Central,13,6,5,142,1,False,False,Both,Three phase,2,2002,17307585,24
Gampaha,Gampaha Town,12,4,4,88,1,True,False,Pipe-borne,Three phase,2,1989,19778148,37
Mannar,Mannar Central,14,5,4,88,3,False,False,Pipe-borne,Three phase,2,2000,11177599,26
Vavuniya,Vavuniya Central,5,2,1,42,1,False,False,Well,Three phase,1,2017,4680383,9
Badulla,Badulla Town,3,3,2,62,1,True,False,Both,Single phase,1,2004,4581464,22
Kilinochchi,Kilinochchi Central,12,5,4,117,1,True,True,Both,Single phase,1,1987,9404827,39
Kegalle,Kegalle Central,4,1,1,43,0,False,False,Well,Three phase,1,1986,3696865,40
Anuradhapura,New Town,22,7,5,204,2,True,False,Well,Single phase,3,2006,20241392,20
Hambantota,Hambantota Town,15,7,5,178,3,False,False,Well,Single phase,2,2016,21368204,10
Mannar,Mannar Central,4,2,2,35,1,False,False,Well,Single phase,1,2025,3723085,1
Gampaha,Ja-Ela,13,6,5,92,1,True,False,Both,Single phase,2,2017,17978991,9
Kalutara,Beruwala,14,6,5,134,2,True,True,Pipe-borne,Single phase,1,1993,20171762,33
Trincomalee,Uppuveli,18,6,5,116,3,True,True,Well,Three phase,1,1999,21373209,27
Polonnaruwa,Polonnaruwa Central,6,1,1,61,1,False,False,Pipe-borne,Three phase,2,1985,5162724,41
Badulla,Badulla Town,26,6,5,250,2,False,False,Pipe-borne,Single phase,2,2007,37075368,19
Kilinochchi,Kilinochchi Central,6,3,3,46,0,True,False,Pipe-borne,Three phase,1,1990,4994547,36
Anuradhapura,Madawachchiya,13,5,5,164,2,False,True,Both,Three phase,1,2007,19882049,19
Monaragala,Monaragala Central,10,5,4,91,2,False,False,Both,Single phase,1,2018,10437470,8
Batticaloa,Kallady,2,1,1,35,0,True,False,Pipe-borne,Three phase,1,1985,3593881,41
Ratnapura,Ratnapura Town,39,7,5,250,1,False,False,Pipe-borne,Three phase,2,1997,45754906,29
Matale,Matale Central,10,2,1,125,1,False,True,Well,Single phase,2,2009,15358180,17
Kandy,Kandy City,8,5,4,63,1,True,True,Both,Single phase,1,1995,11231857,31
Kurunegala,Pannala,8,4,4,47,0,False,False,Pipe-borne,Three phase,1,2013,7048980,13
Kegalle,Kegalle Central,5,1,1,73,2,True,False,Both,Single phase,1,1993,6165921,33
Anuradhapura,Nuwaragam Palatha,12,6,5,142,1,True,False,Both,Single phase,1,2013,15392966,13
Badulla,Bandarawela,3,1,1,58,2,True,False,Well,Three phase,1,1995,3731585,31
Mannar,Mannar Central,3,1,1,35,0,False,True,Both,Single phase,1,2010,3859175,16
Kurunegala,Kurunegala Town,27,4,4,250,2,True,False,Both,Three phase,2,1991,35984784,35
Nuwara Eliya,Nuwara Eliya Central,14,6,5,86,1,True,True,Pipe-borne,Three phase,1,1990,27788860,36
Colombo,Dehiwala,13,6,5,128,2,False,True,Both,Three phase,1,1992,35898817,34
Matale,Matale Central,17,7,5,140,1,True,True,Both,Single phase,1,1995,15267573,31
Mullaitivu,Mullaitivu Central,3,3,2,35,0,True,True,Pipe-borne,Three phase,2,2013,3418150,13
Kilinochchi,Kilinochchi Central,4,4,3,51,1,False,False,Well,Single phase,2,1988,4662878,38
Gampaha,Gampaha Town,10,5,5,95,0,False,False,Pipe-borne,Three phase,1,1994,15662144,32
Anuradhapura,Nuwaragam Palatha,7,4,3,86,0,False,True,Well,Single phase,2,1999,8918246,27
Mullaitivu,Mullaitivu Central,10,4,3,52,2,True,True,Both,Three phase,1,1992,7481191,34
Badulla,Bandarawela,11,5,5,128,1,False,False,Pipe-borne,Single phase,2,1993,11031451,33
Galle,Karapitiya,12,5,4,153,0,False,False,Well,Three phase,1,2014,21460789,12
Kilinochchi,Kilinochchi Central,7,4,3,67,1,True,True,Both,Three phase,2,2007,4567926,19
Matale,Matale Central,4,1,1,35,0,False,True,Well,Three phase,2,2022,4645349,4
Vavuniya,Vavuniya Central,9,3,2,117,1,False,True,Pipe-borne,Single phase,1,2007,10595050,19
Puttalam,Puttalam Central,18,5,4,188,3,True,False,Both,Three phase,2,2023,26138779,3
Kandy,Gatambe,34,7,5,250,1,False,True,Pipe-borne,Single phase,2,2016,65289531,10
Batticaloa,Batticaloa Town,28,5,4,250,2,False,True,Well,Three phase,3,2014,37373947,12
Matara,Nupe,8,5,4,130,0,False,False,Both,Single phase,1,1996,11462020,30
Jaffna,Chunnakam,14,5,5,107,1,True,False,Well,Single phase,1,2004,15933271,22
Polonnaruwa,Polonnaruwa Central,2,1,1,35,2,False,True,Well,Three phase,2,2012,2514329,14
Ratnapura,Pelmadulla,6,4,3,35,0,True,False,Well,Single phase,2,1999,5098111,27
Hambantota,Hambantota Town,10,2,2,103,0,True,True,Well,Single phase,1,1999,9677437,27
Kegalle,Kegalle Central,14,7,5,163,3,True,False,Both,Three phase,2,1992,15541915,34
Puttalam,Puttalam Central,9,4,3,103,1,False,False,Both,Three phase,1,1988,10783423,38
Batticaloa,Kallady,2,1,1,44,0,True,True,Both,Three phase,1,2012,3273502,14
Puttalam,Puttalam Central,3,2,1,35,0,True,True,Well,Three phase,2,1993,4932856,33
Batticaloa,Kallady,11,3,2,172,2,False,True,Pipe-borne,Single phase,2,2009,20120211,17
Kalutara,Beruwala,12,5,4,121,1,False,False,Both,Single phase,1,2008,18119380,18
Puttalam,Puttalam Central,16,7,5,176,3,True,True,Pipe-borne,Single phase,2,1995,17220510,31
Batticaloa,Kallady,42,6,5,250,2,True,True,Pipe-borne,Single phase,2,1992,46612684,34
Polonnaruwa,Polonnaruwa Central,4,2,1,35,1,False,True,Both,Three phase,2,2005,3910656,21
Trincomalee,China Bay,11,4,3,132,0,False,False,Pipe-borne,Three phase,1,1998,15230289,28
Vavuniya,Vavuniya Central,21,6,5,250,2,True,False,Both,Single phase,2,2004,27479267,22
Polonnaruwa,Polonnaruwa Central,21,6,5,227,2,False,False,Well,Three phase,2,2004,21537442,22
Hambantota,Ambalantota,13,4,3,109,1,False,False,Both,Single phase,1,1999,10630999,27
Kalutara,Kalutara North,7,2,2,71,0,True,False,Pipe-borne,Three phase,1,1993,10497180,33
Anuradhapura,Madawachchiya,5,1,1,35,0,False,True,Pipe-borne,Three phase,2,2018,5205240,8
Kilinochchi,Kilinochchi Central,23,4,4,177,2,True,True,Both,Single phase,2,2004,24081806,22
Badulla,Bandarawela,11,3,2,107,2,True,True,Well,Three phase,1,1995,12028138,31
Nuwara Eliya,Nuwara Eliya Central,2,2,1,50,1,False,True,Pipe-borne,Single phase,2,1994,5283823,32
Matale,Matale Central,8,4,3,91,0,False,False,Well,Single phase,1,2001,8271947,25
Kilinochchi,Kilinochchi Central,16,6,5,100,2,False,True,Well,Single phase,1,1996,13261182,30
Monaragala,Monaragala Central,23,6,5,149,1,True,True,Well,Three phase,1,2001,19880365,25
Badulla,Hali Ela,5,1,1,42,1,False,False,Pipe-borne,Three phase,2,2011,5785013,15
Batticaloa,Kallady,23,6,5,250,1,False,True,Pipe-borne,Three phase,2,2013,29467141,13
Mannar,Mannar Central,7,4,4,58,1,True,False,Pipe-borne,Three phase,1,1995,5437618,31
Trincomalee,Nilaveli,8,4,4,97,1,True,False,Well,Single phase,1,2008,10589233,18
Gampaha,Gampaha Town,14,4,4,108,2,True,False,Pipe-borne,Single phase,2,1995,20385089,31
Trincomalee,Uppuveli,29,7,5,250,2,False,True,Well,Three phase,3,1997,37281964,29
Trincomalee,Uppuveli,3,2,1,35,0,False,False,Well,Single phase,1,1993,3335759,33
Mannar,Mannar Central,7,2,1,83,0,False,False,Pipe-borne,Three phase,2,2013,6083247,13
Vavuniya,Vavuniya Central,12,4,3,132,2,True,False,Well,Three phase,1,2000,15229306,26
Monaragala,Monaragala Central,22,7,5,207,1,True,True,Well,Single phase,2,2025,25710835,1
Ampara,Ampara Central,16,6,5,149,1,True,False,Pipe-borne,Three phase,2,1997,14543618,29
